name,gppd_idnr,country,year,co2_emissions_tonne,capacity_mw,primary_fuel,generation_gwh,commissioning_year,latitude,longitude,unit_count
GKM AG TNG,,Germany,2015,2172380.0,1036.0,Fossil Hard coal,2184.1090000000004,,49.446000000000005,8.49,1
GKM AG TNG,,Germany,2016,4457850.0,1036.0,Fossil Hard coal,4481.928000000001,,49.446000000000005,8.49,1
GKM AG TNG,,Germany,2017,3757800.0,1036.0,Fossil Hard coal,3778.091000000001,,49.446000000000005,8.49,1
GKM AG TNG,,Germany,2018,3712850.0,1036.0,Fossil Hard coal,3732.904000000001,,49.446000000000005,8.49,1
GKM AG Amprion,,Germany,2015,1448290.0,691.0,Fossil Hard coal,1456.1100000000004,,49.446000000000005,8.49,1
GKM AG Amprion,,Germany,2016,2971970.0,691.0,Fossil Hard coal,2988.0160000000005,,49.446000000000005,8.49,1
GKM AG Amprion,,Germany,2017,2505170.0,691.0,Fossil Hard coal,2518.7000000000007,,49.446000000000005,8.49,1
GKM AG Amprion,,Germany,2018,2475180.0,691.0,Fossil Hard coal,2488.5450000000005,,49.446000000000005,8.49,1
GKM AG DBEnergie,,Germany,2015,559080.0,244.0,Fossil Hard coal,513.9190000000001,,49.445,8.5,1
GKM AG DBEnergie,,Germany,2016,1147280.0,244.0,Fossil Hard coal,1054.6050000000002,,49.445,8.5,1
GKM AG DBEnergie,,Germany,2017,967055.0,244.0,Fossil Hard coal,888.9390000000002,,49.445,8.5,1
GKM AG DBEnergie,,Germany,2018,955540.0,244.0,Fossil Hard coal,878.3550000000002,,49.445,8.5,1
Kernkraftwerk Neckarwestheim,,Germany,2015,0.0,1320.0,Nuclear,10217.861000000003,,49.041000000000004,9.175,1
Kernkraftwerk Neckarwestheim,,Germany,2016,0.0,1320.0,Nuclear,10620.179000000002,,49.041000000000004,9.175,1
Kernkraftwerk Neckarwestheim,,Germany,2017,0.0,1320.0,Nuclear,9817.346000000003,,49.041000000000004,9.175,1
Kernkraftwerk Neckarwestheim,,Germany,2018,0.0,1320.0,Nuclear,9034.841000000002,,49.041000000000004,9.175,1
HKW Heilbronn,WRI1005747,Germany,2015,2948730.0,778.0,Fossil Hard coal,3218.763000000001,1985.0,49.178000000000004,9.209,1
HKW Heilbronn,WRI1005747,Germany,2016,2189310.0,778.0,Fossil Hard coal,2389.7970000000005,1985.0,49.178000000000004,9.209,1
HKW Heilbronn,WRI1005747,Germany,2017,2188500.0,778.0,Fossil Hard coal,2388.9220000000005,1985.0,49.178000000000004,9.209,1
HKW Heilbronn,WRI1005747,Germany,2018,2620660.0,778.0,Fossil Hard coal,2860.6530000000007,1985.0,49.178000000000004,9.209,1
Rheinkraftwerk Iffezheim,WRI1006027,Germany,2015,0.0,146.0,Hydro Run-of-river and poundage,704.8430000000002,,48.831,8.112,1
Rheinkraftwerk Iffezheim,WRI1006027,Germany,2016,0.0,146.0,Hydro Run-of-river and poundage,764.2030000000002,,48.831,8.112,1
Rheinkraftwerk Iffezheim,WRI1006027,Germany,2017,0.0,146.0,Hydro Run-of-river and poundage,758.3230000000002,,48.831,8.112,1
Rheinkraftwerk Iffezheim,WRI1006027,Germany,2018,0.0,146.0,Hydro Run-of-river and poundage,693.0050000000001,,48.831,8.112,1
KKW Philippsburg,WRI1006001,Germany,2015,0.0,1402.0,Nuclear,10372.282000000003,1980.0,49.253,8.436,1
KKW Philippsburg,WRI1006001,Germany,2016,0.0,1402.0,Nuclear,9701.603000000003,1980.0,49.253,8.436,1
KKW Philippsburg,WRI1006001,Germany,2017,0.0,1402.0,Nuclear,7387.201000000002,1980.0,49.253,8.436,1
KKW Philippsburg,WRI1006001,Germany,2018,0.0,1402.0,Nuclear,10322.871000000003,1980.0,49.253,8.436,1
KW Laufenburg,WRI1005931,Germany,2015,0.0,106.0,Hydro Run-of-river and poundage,87.82200000000002,,47.556000000000004,8.049,1
KW Laufenburg,WRI1005931,Germany,2016,0.0,106.0,Hydro Run-of-river and poundage,649.0560000000002,,47.556000000000004,8.049,1
KW Laufenburg,WRI1005931,Germany,2017,0.0,106.0,Hydro Run-of-river and poundage,606.8580000000002,,47.556000000000004,8.049,1
KW Laufenburg,WRI1005931,Germany,2018,0.0,106.0,Hydro Run-of-river and poundage,569.1370000000002,,47.556000000000004,8.049,1
KW Rheinfelden DE,WRI1005913,Germany,2015,0.0,100.0,Hydro Run-of-river and poundage,31.559000000000008,,47.57,7.81,1
KW Rheinfelden DE,WRI1005913,Germany,2016,0.0,100.0,Hydro Run-of-river and poundage,190.57200000000003,,47.57,7.81,1
KW Rheinfelden DE,WRI1005913,Germany,2017,0.0,100.0,Hydro Run-of-river and poundage,243.08100000000005,,47.57,7.81,1
KW Rheinfelden DE,WRI1005913,Germany,2018,0.0,100.0,Hydro Run-of-river and poundage,275.82700000000006,,47.57,7.81,1
HKW Stuttgart-Münster,WRI1006019,Germany,2015,0.0,178.9,Waste,231.75600000000006,,48.815,9.221,1
HKW Stuttgart-Münster,WRI1006019,Germany,2016,0.0,178.9,Waste,270.89900000000006,,48.815,9.221,1
HKW Stuttgart-Münster,WRI1006019,Germany,2017,0.0,178.9,Waste,264.35300000000007,,48.815,9.221,1
HKW Stuttgart-Münster,WRI1006019,Germany,2018,0.0,178.9,Waste,284.7700000000001,,48.815,9.221,1
Schluchseewerk AG,WRI1006037,Germany,2015,0.0,180.0,Hydro Pumped Storage,148.29600000000005,,47.565,7.954,1
